Year,Series,Gender,Sector,Ethnicity,Education level,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Kaduna,,NGKD18,61.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Kano,,NGKN19,91.3
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Katsina,,NGKT20,81.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Kebbi,,NGKE21,81.8
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Kogi,,NGKO22,85.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Kwara,,NGKW23,93.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Lagos,,NGLA24,99.3
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Nasarawa,,NGNA25,87.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Niger,,NGNI26,83.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Ogun,,NGOG27,93.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Ondo,,NGON28,99.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Osun,,NGOS29,98.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Oyo,,NGOY30,89.8
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Plateau,,NGPL31,50.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Rivers,,NGRI32,85.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Sokoto,,NGSO33,63.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Taraba,,NGTA34,78.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Yobe,,NGYO35,78.7
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Zamfara,,NGZA36,32.3
2021,Proportion of population that feel safe walking alone around the area they live after dark,Male,,,,,,Federal Capital Territory,,NGFC37,78.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,,,NG,63.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,Urban,,,,,,,NG,68.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,Rural,,,,,,,NG,59.4
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,,15-19,NG,58.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,,15-17,NG,58.4
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,,18-19,NG,59.8
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,,20-24,NG,60.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,,25-29,NG,62.2
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,,30-34,NG,66.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,,35-39,NG,67.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,,40-44,NG,67.7
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,,,,45-49,NG,68.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,None,,,,,NG,54.7
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,Primary,,,,,NG,62.9
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,Junior secondary,,,,,NG,64.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,Senior secondary,,,,,NG,67.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,Higher/tertiary,,,,,NG,70.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,Hausa,,,,,,NG,49.2
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,Igbo,,,,,,NG,69.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,Yoruba,,,,,,NG,80.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,Fulani,,,,,,NG,54.8
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,Kanuri,,,,,,NG,58.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,Ijaw,,,,,,NG,71.6
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,Tiv,,,,,,NG,68.1
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,Ibibio,,,,,,NG,59.5
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,Edo,,,,,,NG,84.4
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,Other ethnicity,,,,,,NG,63.7
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,Poorest,,,,NG,55.7
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,Second,,,,NG,57.3
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,Middle,,,,NG,62.0
2021,Proportion of population that feel safe walking alone around the area they live after dark,Female,,,,Fourth,,,,NG,68.7
