Year,Series,Units,Value
2016,Worldwide weighted tariff-average,Percentage (%),9.8
2017,Worldwide weighted tariff-average,Percentage (%),8.68
2018,Worldwide weighted tariff-average,Percentage (%),8.68
2019,Worldwide weighted tariff-average,Percentage (%),8.73
2020,Worldwide weighted tariff-average,Percentage (%),8.98
2021,Worldwide weighted tariff-average,Percentage (%),9.17
2022,Worldwide weighted tariff-average,Percentage (%),9.43
