Year,Series,Sector,Wealth Index Quintile,Geopolitical zone,State,Managed by,Units,GeoCode,Value
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Peri-Urban,,,,service contractor,Percentage (%),NG,4.4
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Urban-Urban,,,,service contractor,Percentage (%),NG,3.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Rural,,,,service contractor,Percentage (%),NG,3.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Itenerant,,,,service contractor,Percentage (%),NG,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Rural-Rural,,,,service contractor,Percentage (%),NG,3.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Small Town,,,,service contractor,Percentage (%),NG,1.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Poorest,,,service contractor,Percentage (%),NG,2.9
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Second,,,service contractor,Percentage (%),NG,3.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Middle,,,service contractor,Percentage (%),NG,2.6
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Fourth,,,service contractor,Percentage (%),NG,5.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Richest,,,service contractor,Percentage (%),NG,2.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Abia,service contractor,Percentage (%),NGAB01,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Adamawa,service contractor,Percentage (%),NGAD02,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Akwa Ibom,service contractor,Percentage (%),NGAK03,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Anambra,service contractor,Percentage (%),NGAN04,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Bauchi,service contractor,Percentage (%),NGBA05,5.9
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Bayelsa,service contractor,Percentage (%),NGBY06,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Benue,service contractor,Percentage (%),NGBE07,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Borno,service contractor,Percentage (%),NGBO08,8.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Cross River,service contractor,Percentage (%),NGXR09,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Delta,service contractor,Percentage (%),NGDE10,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ebonyi,service contractor,Percentage (%),NGEB11,1.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Edo,service contractor,Percentage (%),NGED12,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ekiti,service contractor,Percentage (%),NGEK13,6.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Enugu,service contractor,Percentage (%),NGEN14,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Gombe,service contractor,Percentage (%),NGGO15,8.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Imo,service contractor,Percentage (%),NGIM16,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Jigawa,service contractor,Percentage (%),NGJI17,0.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kaduna,service contractor,Percentage (%),NGKD18,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kano,service contractor,Percentage (%),NGKN19,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Katsina,service contractor,Percentage (%),NGKT20,0.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kebbi,service contractor,Percentage (%),NGKE21,8.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kogi,service contractor,Percentage (%),NGKO22,10.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kwara,service contractor,Percentage (%),NGKW23,5.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Lagos,service contractor,Percentage (%),NGLA24,9.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Nasarawa,service contractor,Percentage (%),NGNA25,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Niger,service contractor,Percentage (%),NGNI26,6.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ogun,service contractor,Percentage (%),NGOG27,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ondo,service contractor,Percentage (%),NGON28,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Osun,service contractor,Percentage (%),NGOS29,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Oyo,service contractor,Percentage (%),NGOY30,27.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Plateau,service contractor,Percentage (%),NGPL31,1.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Rivers,service contractor,Percentage (%),NGRI32,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Sokoto,service contractor,Percentage (%),NGSO33,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Taraba,service contractor,Percentage (%),NGTA34,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Yobe,service contractor,Percentage (%),NGYO35,0.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Zamfara,service contractor,Percentage (%),NGZA36,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Federal Capital Territory,service contractor,Percentage (%),NGFC37,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,,LGA staff,Percentage (%),NG,2.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,North Central,,LGA staff,Percentage (%),NGNCZ06,1.6
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,North East,,LGA staff,Percentage (%),NGNEZ05,3.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,North West,,LGA staff,Percentage (%),NGNWZ04,1.9
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,South East,,LGA staff,Percentage (%),NGSEZ03,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,South South,,LGA staff,Percentage (%),NGSSZ02,4.9
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,South West,,LGA staff,Percentage (%),NGSWZ01,0.0
2020,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Urban,,,,LGA staff,Percentage (%),NG,1.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Peri-Urban,,,,LGA staff,Percentage (%),NG,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Urban-Urban,,,,LGA staff,Percentage (%),NG,2.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Rural,,,,LGA staff,Percentage (%),NG,2.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Itenerant,,,,LGA staff,Percentage (%),NG,3.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Rural-Rural,,,,LGA staff,Percentage (%),NG,1.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Small Town,,,,LGA staff,Percentage (%),NG,4.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Poorest,,,LGA staff,Percentage (%),NG,1.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Second,,,LGA staff,Percentage (%),NG,3.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Middle,,,LGA staff,Percentage (%),NG,2.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Fourth,,,LGA staff,Percentage (%),NG,2.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Richest,,,LGA staff,Percentage (%),NG,2.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Abia,LGA staff,Percentage (%),NGAB01,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Adamawa,LGA staff,Percentage (%),NGAD02,7.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Akwa Ibom,LGA staff,Percentage (%),NGAK03,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Anambra,LGA staff,Percentage (%),NGAN04,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Bauchi,LGA staff,Percentage (%),NGBA05,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Bayelsa,LGA staff,Percentage (%),NGBY06,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Benue,LGA staff,Percentage (%),NGBE07,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Borno,LGA staff,Percentage (%),NGBO08,5.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Cross River,LGA staff,Percentage (%),NGXR09,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Delta,LGA staff,Percentage (%),NGDE10,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ebonyi,LGA staff,Percentage (%),NGEB11,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Edo,LGA staff,Percentage (%),NGED12,26.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ekiti,LGA staff,Percentage (%),NGEK13,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Enugu,LGA staff,Percentage (%),NGEN14,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Gombe,LGA staff,Percentage (%),NGGO15,1.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Imo,LGA staff,Percentage (%),NGIM16,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Jigawa,LGA staff,Percentage (%),NGJI17,1.1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kaduna,LGA staff,Percentage (%),NGKD18,3.4
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kano,LGA staff,Percentage (%),NGKN19,4.6
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Katsina,LGA staff,Percentage (%),NGKT20,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kebbi,LGA staff,Percentage (%),NGKE21,3.9
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kogi,LGA staff,Percentage (%),NGKO22,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kwara,LGA staff,Percentage (%),NGKW23,1.6
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Lagos,LGA staff,Percentage (%),NGLA24,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Nasarawa,LGA staff,Percentage (%),NGNA25,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Niger,LGA staff,Percentage (%),NGNI26,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ogun,LGA staff,Percentage (%),NGOG27,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ondo,LGA staff,Percentage (%),NGON28,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Osun,LGA staff,Percentage (%),NGOS29,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Oyo,LGA staff,Percentage (%),NGOY30,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Plateau,LGA staff,Percentage (%),NGPL31,2.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Rivers,LGA staff,Percentage (%),NGRI32,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Sokoto,LGA staff,Percentage (%),NGSO33,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Taraba,LGA staff,Percentage (%),NGTA34,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Yobe,LGA staff,Percentage (%),NGYO35,2.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Zamfara,LGA staff,Percentage (%),NGZA36,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Federal Capital Territory,LGA staff,Percentage (%),NGFC37,6.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,,State govt staff,Percentage (%),NG,0.4
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,North Central,,State govt staff,Percentage (%),NGNCZ06,1.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,North East,,State govt staff,Percentage (%),NGNEZ05,0.4
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,North West,,State govt staff,Percentage (%),NGNWZ04,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,South East,,State govt staff,Percentage (%),NGSEZ03,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,South South,,State govt staff,Percentage (%),NGSSZ02,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,South West,,State govt staff,Percentage (%),NGSWZ01,0.8
2020,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Urban,,,,State govt staff,Percentage (%),NG,0.9
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Peri-Urban,,,,State govt staff,Percentage (%),NG,0.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Urban-Urban,,,,State govt staff,Percentage (%),NG,1.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Rural,,,,State govt staff,Percentage (%),NG,0.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Itenerant,,,,State govt staff,Percentage (%),NG,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Rural-Rural,,,,State govt staff,Percentage (%),NG,0.2
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Small Town,,,,State govt staff,Percentage (%),NG,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Poorest,,,State govt staff,Percentage (%),NG,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Second,,,State govt staff,Percentage (%),NG,0.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Middle,,,State govt staff,Percentage (%),NG,0.4
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Fourth,,,State govt staff,Percentage (%),NG,0.6
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,Richest,,,State govt staff,Percentage (%),NG,0.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Abia,State govt staff,Percentage (%),NGAB01,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Adamawa,State govt staff,Percentage (%),NGAD02,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Akwa Ibom,State govt staff,Percentage (%),NGAK03,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Anambra,State govt staff,Percentage (%),NGAN04,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Bauchi,State govt staff,Percentage (%),NGBA05,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Bayelsa,State govt staff,Percentage (%),NGBY06,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Benue,State govt staff,Percentage (%),NGBE07,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Borno,State govt staff,Percentage (%),NGBO08,0.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Cross River,State govt staff,Percentage (%),NGXR09,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Delta,State govt staff,Percentage (%),NGDE10,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ebonyi,State govt staff,Percentage (%),NGEB11,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Edo,State govt staff,Percentage (%),NGED12,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ekiti,State govt staff,Percentage (%),NGEK13,1.8
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Enugu,State govt staff,Percentage (%),NGEN14,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Gombe,State govt staff,Percentage (%),NGGO15,0.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Imo,State govt staff,Percentage (%),NGIM16,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Jigawa,State govt staff,Percentage (%),NGJI17,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kaduna,State govt staff,Percentage (%),NGKD18,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kano,State govt staff,Percentage (%),NGKN19,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Katsina,State govt staff,Percentage (%),NGKT20,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kebbi,State govt staff,Percentage (%),NGKE21,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kogi,State govt staff,Percentage (%),NGKO22,1.4
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Kwara,State govt staff,Percentage (%),NGKW23,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Lagos,State govt staff,Percentage (%),NGLA24,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Nasarawa,State govt staff,Percentage (%),NGNA25,0.9
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Niger,State govt staff,Percentage (%),NGNI26,2.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ogun,State govt staff,Percentage (%),NGOG27,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Ondo,State govt staff,Percentage (%),NGON28,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Osun,State govt staff,Percentage (%),NGOS29,4.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Oyo,State govt staff,Percentage (%),NGOY30,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Plateau,State govt staff,Percentage (%),NGPL31,2.7
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Rivers,State govt staff,Percentage (%),NGRI32,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Sokoto,State govt staff,Percentage (%),NGSO33,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Taraba,State govt staff,Percentage (%),NGTA34,0.5
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Yobe,State govt staff,Percentage (%),NGYO35,1.3
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Zamfara,State govt staff,Percentage (%),NGZA36,0.0
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,,,,Federal Capital Territory,State govt staff,Percentage (%),NGFC37,0.0
