Year,Series,Distance,Geopolitical zone,State,GeoCode,Value
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Delta,NGDE10,29.9
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Ebonyi,NGEB11,38.4
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Edo,NGED12,14.3
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Ekiti,NGEK13,7.7
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Enugu,NGEN14,25.8
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Gombe,NGGO15,6.8
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Imo,NGIM16,25.5
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Jigawa,NGJI17,5.4
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Kaduna,NGKD18,24.1
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Kano,NGKN19,15.3
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Katsina,NGKT20,15.4
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Kebbi,NGKE21,11.2
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Kogi,NGKO22,20.8
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Kwara,NGKW23,15.0
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Lagos,NGLA24,8.3
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Nasarawa,NGNA25,8.6
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Niger,NGNI26,20.5
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Ogun,NGOG27,16.3
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Ondo,NGON28,29.2
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Osun,NGOS29,20.7
2022,Distance of nearest market where farmers sell their goods,1 to 2 KM,,Oyo,NGOY30,20.9
