Year,Series,Units,Value
2016,Debt service as a proportion of exports of goods and services,Percentage (%),9.57
2017,Debt service as a proportion of exports of goods and services,Percentage (%),6.97
2018,Debt service as a proportion of exports of goods and services,Percentage (%),9.76
2019,Debt service as a proportion of exports of goods and services,Percentage (%),9.92
2020,Debt service as a proportion of exports of goods and services,Percentage (%),15.33
2021,Debt service as a proportion of exports of goods and services,Percentage (%),15.01
2022,Debt service as a proportion of exports of goods and services,Percentage (%),10.58
