Year,Series,Sector,Wealth Index Quintile,Geopolitical zone,State,Units,GeoCode,Value
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Kebbi,Percentage (%),NGKE21,11.4
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Kogi,Percentage (%),NGKO22,9.7
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Kwara,Percentage (%),NGKW23,10.0
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Lagos,Percentage (%),NGLA24,16.1
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Nasarawa,Percentage (%),NGNA25,8.0
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Niger,Percentage (%),NGNI26,14.6
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Ogun,Percentage (%),NGOG27,8.0
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Ondo,Percentage (%),NGON28,9.5
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Osun,Percentage (%),NGOS29,3.5
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Oyo,Percentage (%),NGOY30,2.8
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Plateau,Percentage (%),NGPL31,6.3
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Rivers,Percentage (%),NGRI32,22.9
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Sokoto,Percentage (%),NGSO33,33.9
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Taraba,Percentage (%),NGTA34,3.1
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Yobe,Percentage (%),NGYO35,18.0
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Zamfara,Percentage (%),NGZA36,19.2
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Federal Capital Territory,Percentage (%),NGFC37,19.5
