Year,Series,Gender,Sector,Age group,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,ICT skill,GeoCode,Value
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Benue,Copied or moved a file or folder,NGBE07,1.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Borno,Copied or moved a file or folder,NGBO08,6.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Cross River,Copied or moved a file or folder,NGXR09,5.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Delta,Copied or moved a file or folder,NGDE10,20.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Ebonyi,Copied or moved a file or folder,NGEB11,5.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Edo,Copied or moved a file or folder,NGED12,14.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Ekiti,Copied or moved a file or folder,NGEK13,3.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Enugu,Copied or moved a file or folder,NGEN14,15.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Gombe,Copied or moved a file or folder,NGGO15,8.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Imo,Copied or moved a file or folder,NGIM16,9.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Jigawa,Copied or moved a file or folder,NGJI17,2.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Kaduna,Copied or moved a file or folder,NGKD18,13.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Kano,Copied or moved a file or folder,NGKN19,5.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Katsina,Copied or moved a file or folder,NGKT20,2.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Kebbi,Copied or moved a file or folder,NGKE21,3.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Kogi,Copied or moved a file or folder,NGKO22,3.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Kwara,Copied or moved a file or folder,NGKW23,7.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Lagos,Copied or moved a file or folder,NGLA24,37.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Nasarawa,Copied or moved a file or folder,NGNA25,13.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Niger,Copied or moved a file or folder,NGNI26,4.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Ogun,Copied or moved a file or folder,NGOG27,9.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Ondo,Copied or moved a file or folder,NGON28,6.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Osun,Copied or moved a file or folder,NGOS29,2.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Oyo,Copied or moved a file or folder,NGOY30,5.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Plateau,Copied or moved a file or folder,NGPL31,10.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Rivers,Copied or moved a file or folder,NGRI32,14.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Sokoto,Copied or moved a file or folder,NGSO33,3.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Taraba,Copied or moved a file or folder,NGTA34,2.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Yobe,Copied or moved a file or folder,NGYO35,8.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Zamfara,Copied or moved a file or folder,NGZA36,3.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Federal Capital Territory,Copied or moved a file or folder,NGFC37,29.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,,Used a copy and paste tool to duplicate or move information within a document,NG,9.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,Urban,,,,,,Used a copy and paste tool to duplicate or move information within a document,NG,16.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,Rural,,,,,,Used a copy and paste tool to duplicate or move information within a document,NG,2.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,15-24,,,,,Used a copy and paste tool to duplicate or move information within a document,NG,6.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,15-19,,,,,Used a copy and paste tool to duplicate or move information within a document,NG,4.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,15-17,,,,,Used a copy and paste tool to duplicate or move information within a document,NG,3.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,18-19,,,,,Used a copy and paste tool to duplicate or move information within a document,NG,4.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,20-24,,,,,Used a copy and paste tool to duplicate or move information within a document,NG,11.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,25-29,,,,,Used a copy and paste tool to duplicate or move information within a document,NG,13.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,30-34,,,,,Used a copy and paste tool to duplicate or move information within a document,NG,11.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,35-39,,,,,Used a copy and paste tool to duplicate or move information within a document,NG,10.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,40-44,,,,,Used a copy and paste tool to duplicate or move information within a document,NG,9.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,45-49,,,,,Used a copy and paste tool to duplicate or move information within a document,NG,7.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Hausa,,,,Used a copy and paste tool to duplicate or move information within a document,NG,5.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Igbo,,,,Used a copy and paste tool to duplicate or move information within a document,NG,11.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Yoruba,,,,Used a copy and paste tool to duplicate or move information within a document,NG,16.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Fulani,,,,Used a copy and paste tool to duplicate or move information within a document,NG,2.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Kanuri,,,,Used a copy and paste tool to duplicate or move information within a document,NG,5.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Ijaw,,,,Used a copy and paste tool to duplicate or move information within a document,NG,4.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Tiv,,,,Used a copy and paste tool to duplicate or move information within a document,NG,4.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Ibibio,,,,Used a copy and paste tool to duplicate or move information within a document,NG,12.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Edo,,,,Used a copy and paste tool to duplicate or move information within a document,NG,21.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,Other ethnicity,,,,Used a copy and paste tool to duplicate or move information within a document,NG,8.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Poorest,,,Used a copy and paste tool to duplicate or move information within a document,NG,0.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Second,,,Used a copy and paste tool to duplicate or move information within a document,NG,1.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Middle,,,Used a copy and paste tool to duplicate or move information within a document,NG,2.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Fourth,,,Used a copy and paste tool to duplicate or move information within a document,NG,7.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,Richest,,,Used a copy and paste tool to duplicate or move information within a document,NG,28.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,North  Central,,Used a copy and paste tool to duplicate or move information within a document,NGNCZ06,8.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,North East,,Used a copy and paste tool to duplicate or move information within a document,NGNEZ05,4.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,North West,,Used a copy and paste tool to duplicate or move information within a document,NGNWZ04,4.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,South East,,Used a copy and paste tool to duplicate or move information within a document,NGSEZ03,8.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,South South,,Used a copy and paste tool to duplicate or move information within a document,NGSSZ02,12.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,South West,,Used a copy and paste tool to duplicate or move information within a document,NGSWZ01,16.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Abia,Used a copy and paste tool to duplicate or move information within a document,NGAB01,2.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Adamawa,Used a copy and paste tool to duplicate or move information within a document,NGAD02,3.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Akwa Ibom,Used a copy and paste tool to duplicate or move information within a document,NGAK03,6.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Anambra,Used a copy and paste tool to duplicate or move information within a document,NGAN04,7.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Bauchi,Used a copy and paste tool to duplicate or move information within a document,NGBA05,1.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Bayelsa,Used a copy and paste tool to duplicate or move information within a document,NGBY06,8.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Benue,Used a copy and paste tool to duplicate or move information within a document,NGBE07,1.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Borno,Used a copy and paste tool to duplicate or move information within a document,NGBO08,6.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Cross River,Used a copy and paste tool to duplicate or move information within a document,NGXR09,5.5
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Delta,Used a copy and paste tool to duplicate or move information within a document,NGDE10,20.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Ebonyi,Used a copy and paste tool to duplicate or move information within a document,NGEB11,7.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Edo,Used a copy and paste tool to duplicate or move information within a document,NGED12,16.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Ekiti,Used a copy and paste tool to duplicate or move information within a document,NGEK13,3.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Enugu,Used a copy and paste tool to duplicate or move information within a document,NGEN14,13.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Gombe,Used a copy and paste tool to duplicate or move information within a document,NGGO15,8.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",Male,,,,,,Imo,Used a copy and paste tool to duplicate or move information within a document,NGIM16,9.4
