Year,Series,Value
2016,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,9.67
2017,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,9.67
2018,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,9.67
2019,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,9.67
2020,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,9.67
2021,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,9.67
