Year,Series,Severity,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,Units,GeoCode,Value
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Lagos,Percentage (%),NGLA24,26.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Nasarawa,Percentage (%),NGNA25,23.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Niger,Percentage (%),NGNI26,26.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Ogun,Percentage (%),NGOG27,25.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Ondo,Percentage (%),NGON28,22.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Osun,Percentage (%),NGOS29,21.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Oyo,Percentage (%),NGOY30,23.5
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Plateau,Percentage (%),NGPL31,41.5
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Rivers,Percentage (%),NGRI32,29.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Sokoto,Percentage (%),NGSO33,16.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Taraba,Percentage (%),NGTA34,43.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Yobe,Percentage (%),NGYO35,35.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Zamfara,Percentage (%),NGZA36,32.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Federal Capital Territory,Percentage (%),NGFC37,24.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,,,,,Percentage (%),NG,73.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,Urban,,,,,,Percentage (%),NG,71.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,Rural,,,,,,Percentage (%),NG,74.9
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,Poorest,,,,,Percentage (%),NG,78.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,Second,,,,,Percentage (%),NG,75.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,Middle,,,,,Percentage (%),NG,78.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,Fourth,,,,,Percentage (%),NG,76.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,Richest,,,,,Percentage (%),NG,58.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,North  Central,,,,Percentage (%),NGNCZ06,76.1
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,North East,,,,Percentage (%),NGNEZ05,72.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,North West,,,,Percentage (%),NGNWZ04,73.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,South East,,,,Percentage (%),NGSEZ03,77.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate or Severe,,,South South,,,,Percentage (%),NGSSZ02,77.4
