Year,Series,Value
2016,Energy intensity measured in terms of primary energy and GDP,6.46
2017,Energy intensity measured in terms of primary energy and GDP,6.41
2018,Energy intensity measured in terms of primary energy and GDP,6.27
2019,Energy intensity measured in terms of primary energy and GDP,6.5
2020,Energy intensity measured in terms of primary energy and GDP,6.64
2021,Energy intensity measured in terms of primary energy and GDP,6.57
