Indicator,Disaggregation combinations using this value
#1-4-2,10
#3-b-3,3
#4-6-1,6
#4-a-1,5
#5-2-1,7
#5-2-2,1
#5-3-2,1
#5-6-1,1
#5-a-1,2
#5-b-1,3
#6-1-1,1
#6-2-1,2
#6-b-1,7
#7-1-2,1
#8-7-1,10
#9-1-1,6
