Value,Disaggregation combinations using this value,Number of indicators
Full Year,4,1
Half Year,4,1
Q1 2023,13,3
Q1 2024,19,3
Q2 2023,19,3
Q2 2024,19,3
Q3 2023,19,3
Q4 2022,13,3
