Value,Disaggregation combinations using this value,Number of indicators
Incidence (H),46,1
Intensity (A),46,1
Labour Productivity,9,1
Multidimension Poverty Index (MPI),46,1
Number Injured,38,1
Number of Crash,38,1
Number of Fatality,38,1
Number of Poor,46,1
Population Share,46,1
Stunting,135,2
Total Labour,9,1
Total Production,9,1
Underweight,36,2
Wasting,36,2
