Value,Disaggregation combinations using this value,Number of indicators
Aba,1,1
Abeokuta,1,1
Abuja,1,1
Ado-Ekiti,1,1
Akure,1,1
Benin City,1,1
Gombe,1,1
Ibadan,1,1
Ijebu-Ode,1,1
Kaduna,1,1
Kano,1,1
Lagos,1,1
Oyo,1,1
Porthacourt,1,1
