Indicator
#1-1-1
#10-3-1
#11-7-2
#16-1-3
#16-1-4
#16-2-1
#16-2-2
#16-2-3
#16-3-1
#16-7-2
#16-9-1
#16-b-1
#17-8-1
#2-2-1
#2-2-2
#2-2-3
#3-1-1
#3-3-1
#3-3-4
#3-7-1
#3-a-1
#4-3-1
#4-4-1
#5-2-1
#5-2-2
#5-3-2
#5-a-1
#8-10-2
#8-5-2
