Indicator,Disaggregation combinations using this value
#1-3-1,1
#2-1-2,3
#2-2-3,4
#3-1-2,1
#3-2-1,1
#3-2-2,1
#3-7-1,1
#3-a-1,6
#3-b-1,1
#4-1-2,2
