Indicator,Disaggregation combinations using this value
#1-3-1,1
#10-3-1,75
#16-1-4,75
#16-2-1,1
#16-2-2,1
#16-3-2,1
#16-7-1,3
#16-9-1,1
#16-b-1,600
#17-8-1,70
#3-2-1,1
#3-2-2,1
#3-3-1,5
#3-3-4,32
#3-4-2,1
#3-9-1,1
#3-9-2,1
#3-a-1,75
#3-b-1,1
#4-1-1,6
#4-1-2,3
#4-2-1,1
#4-2-2,1
#4-3-1,2
#4-4-1,710
#4-6-1,122
#4-c-1,2
#5-b-1,9
#8-10-2,74
#8-3-1,4
#8-5-2,6
#8-6-1,4
#8-7-1,30
