Indicator
#11-3-2
#11-7-1
#12-2-1
#12-4-2
#12-5-1
#12-7-1
#15-c-1
#16-10-1
#16-5-2
#16-6-2
#2-3-2
#3-9-3
#3-b-2
#5-4-1
#6-5-2
#6-6-1
#8-8-1
#8-9-2
