Value,Disaggregation combinations using this value,Number of indicators
Antenatal care coverage,46,1
Anti-malaria treatment for children,46,1
Delivery in a health facility,46,1
Modern contraceptive prevalence rate,46,1
Vacination/Immunization coverage,46,1
