Indicator
#1-2-2
#1-3-1
#2-1-2
#2-2-2
#2-2-3
#3-1-2
#3-2-1
#3-2-2
#3-7-1
#3-7-2
#3-8-1
#3-8-2
#3-a-1
#3-b-1
