Value,Disaggregation combinations using this value,Number of indicators
Emotional Violence,60,1
Physical and Sexual and Emotional,60,1
Physical and Sexual,60,1
Physical or Sexual or Emotional,60,1
Physical or Sexual,60,1
Physical Violence,60,1
Sexual Violence,60,1
