Value,Disaggregation combinations using this value,Number of indicators
Boyfriend,4,1
Doctor/medical personnel,4,1
Friend,4,1
Husband/partner,4,1
Husband/partner's family,4,1
Lawyer,4,1
Neighbour,4,1
Other,4,1
Own family,4,1
Police,4,1
Religious leader,4,1
Social work organisation,4,1
