Indicator
#1-1-1
#1-2-1
#1-2-2
#1-3-1
#1-4-1
#1-4-2
#10-3-1
#11-7-2
#16-1-3
#16-1-4
#16-2-1
#16-5-1
#16-9-1
#16-b-1
#17-8-1
#2-1-2
#2-2-1
#2-2-2
#2-2-3
#2-3-1
#3-1-2
#3-2-1
#3-2-2
#3-7-1
#3-7-2
#3-8-1
#3-8-2
#3-a-1
#3-b-1
#4-1-2
#4-2-1
#4-2-2
#4-3-1
#4-4-1
#4-5-1
#4-6-1
#4-a-1
#5-2-1
#5-2-2
#5-3-2
#5-6-1
#5-a-1
#5-b-1
#6-1-1
#6-2-1
#6-b-1
#7-1-1
#7-1-2
#8-10-2
#8-3-1
#8-5-2
#8-7-1
#9-c-1
