Indicator
#1-5-3
#10-6-1
#10-7-2
#11-a-1
#11-b-1
#12-1-1
#12-4-1
#12-8-1
#13-1-2
#13-2-1
#13-3-1
#14-2-1
#14-6-1
#14-b-1
#14-c-1
#15-6-1
#15-8-1
#15-9-1
#16-10-2
#16-8-1
#16-a-1
#17-16-1
#17-18-2
#17-18-3
#17-19-2
#17-5-1
#4-7-1
#5-1-1
#5-6-2
#5-a-2
#5-c-1
#8-9-2
#8-b-1
