Indicator
#1-1-1
#1-2-1
#10-4-1
#10-4-2
#11-7-2
#12-2-2
#12-a-1
#12-c-1
#13-1-1
#14-7-1
#16-5-1
#16-6-1
#17-1-1
#17-1-2
#17-3-2
#17-4-1
#17-8-1
#17-9-1
#3-1-1
#3-1-2
#3-3-3
#3-3-4
#3-b-3
#5-2-1
#5-2-2
#5-3-1
#5-3-2
#5-5-1
#5-5-2
#5-6-1
#5-a-1
#5-b-1
#6-1-1
#6-2-1
#6-3-1
#6-3-2
#6-a-1
#6-b-1
#7-1-1
#7-1-2
#8-10-2
#8-9-1
#9-2-1
