Value,Disaggregation combinations using this value,Number of indicators
Counselling,1,1
Detoxification,1,1
Hiv Testing & Couselling,1,1
Referral to ART,1,1
Relapse Prevention,1,1
Self-groups,1,1
Social Rehabilation,1,1
