Value,Disaggregation combinations using this value,Number of indicators
Edo,1,1
Fulani,1,1
Hausa,1,1
Ibibio,1,1
Igbo,1,1
Ijaw,1,1
Kanuri,1,1
Other ethnicity,1,1
Tiv,1,1
Yoruba,1,1
