Value,Disaggregation combinations using this value,Number of indicators
Availability of toilet/laterine,55,1
Availiabilty of Handwashing Facilities,55,1
Avaliability of perimeter fencing,55,1
Enviroment Health in Schools,55,1
Proportion of Schools with basic water supply,55,1
