Value,Disaggregation combinations using this value,Number of indicators
Age,150,1
Any reason,150,1
Disability,150,1
Ethnic or immigration origin,150,1
Gender,150,1
Other reason,150,1
Religion or belief,150,1
Sexual orientation,150,1
