Year,Series,Tenure rights,Sector,Geopolitical zone,Sex,Units,GeoCode,Value
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,South South,Female,Percentage (%),NGSSZ02,0.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,South West,Female,Percentage (%),NGSWZ01,0.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),Urban,,Female,Percentage (%),NG,1.2
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),Rural,,Female,Percentage (%),NG,14.5
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,,Male,Percentage (%),NG,38.1
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,North Central,Male,Percentage (%),NGNCZ06,34.4
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,North East,Male,Percentage (%),NGNEZ05,7.3
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,North West,Male,Percentage (%),NGNWZ04,30.1
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,South East,Male,Percentage (%),NGSEZ03,38.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,South South,Male,Percentage (%),NGSSZ02,70.7
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,South West,Male,Percentage (%),NGSWZ01,58.6
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,Urban,,Male,Percentage (%),NG,43.4
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,Rural,,Male,Percentage (%),NG,37.3
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,,Female,Percentage (%),NG,55.1
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,North Central,Female,Percentage (%),NGNCZ06,12.3
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,North East,Female,Percentage (%),NGNEZ05,22.8
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,North West,Female,Percentage (%),NGNWZ04,0.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,South East,Female,Percentage (%),NGSEZ03,37.5
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,South South,Female,Percentage (%),NGSSZ02,87.0
