Year,Series,Units,Value
2017,Research and development expenditure as a proportion of GDP,Percentage (%),0.66
2018,Research and development expenditure as a proportion of GDP,Percentage (%),0.69
2019,Research and development expenditure as a proportion of GDP,Percentage (%),0.61
2020,Research and development expenditure as a proportion of GDP,Percentage (%),0.67
2021,Research and development expenditure as a proportion of GDP,Percentage (%),0.62
2022,Research and development expenditure as a proportion of GDP,Percentage (%),0.59
2023,Research and development expenditure as a proportion of GDP,Percentage (%),0.59
