Year,Series,Value
2016,Installed renewable energy generating capacity in developing and developed countries (in watts per capita),11.3157
2017,Installed renewable energy generating capacity in developing and developed countries (in watts per capita),11.0613
2018,Installed renewable energy generating capacity in developing and developed countries (in watts per capita),10.807
2019,Installed renewable energy generating capacity in developing and developed countries (in watts per capita),10.6051
2020,Installed renewable energy generating capacity in developing and developed countries (in watts per capita),10.4403
2021,Installed renewable energy generating capacity in developing and developed countries (in watts per capita),10.3188
2022,Installed renewable energy generating capacity in developing and developed countries (in watts per capita),10.0942
