Year,Series,Units,Value
2017,broadband Penetration,Percentage (%),19.86
2018,broadband Penetration,Percentage (%),31.48
2019,broadband Penetration,Percentage (%),37.8
2020,broadband Penetration,Percentage (%),45.02
2021,broadband Penetration,Percentage (%),40.88
2022,broadband Penetration,Percentage (%),47.36
2023,broadband Penetration,Percentage (%),43.71
2024,broadband Penetration,Percentage (%),44.43
