Year,Series,Units,Value
2016,Manufacturing employment as a proportion of total employment,Percentage (%),12.68
2017,Manufacturing employment as a proportion of total employment,Percentage (%),13.02
2018,Manufacturing employment as a proportion of total employment,Percentage (%),13.38
2019,Manufacturing employment as a proportion of total employment,Percentage (%),13.77
2020,Manufacturing employment as a proportion of total employment,Percentage (%),14.94
2021,Manufacturing employment as a proportion of total employment,Percentage (%),15.92
2022,Manufacturing employment as a proportion of total employment,Percentage (%),17.55
2023,Manufacturing employment as a proportion of total employment,Percentage (%),17.88
