Year,Series,Units,Value
2016,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income,Percentage (%),0.63
2017,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income,Percentage (%),0.91
2018,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income,Percentage (%),0.8
2019,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income,Percentage (%),0.7
2020,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income,Percentage (%),0.79
2021,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income,Percentage (%),0.82
2022,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income,Percentage (%),0.97
2023,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income,Percentage (%),1.02
