Year,Series,Measure,Sector,Geopolitical Zone,State,Unit multiplier,Units,GeoCode,Value
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Yobe,Units,Index,NGYO35,0.37
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Zamfara,Units,Index,NGZA36,0.328
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Federal Capital Territory,Units,Index,NGFC37,0.186
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,,Units,Percentage (%),NG,62.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),Rural,,,Units,Percentage (%),NG,72.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),Urban,,,Units,Percentage (%),NG,42.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,North  Central,,Units,Percentage (%),NGNCZ06,66.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,North East,,Units,Percentage (%),NGNEZ05,76.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,North West,,Units,Percentage (%),NGNWZ04,75.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,South East,,Units,Percentage (%),NGSEZ03,49.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,South South,,Units,Percentage (%),NGSSZ02,62.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,South West,,Units,Percentage (%),NGSWZ01,40.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Abia,Units,Percentage (%),NGAB01,29.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Adamawa,Units,Percentage (%),NGAD02,68.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Akwa Ibom,Units,Percentage (%),NGAK03,71.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Anambra,Units,Percentage (%),NGAN04,32.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Bauchi,Units,Percentage (%),NGBA05,73.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Bayelsa,Units,Percentage (%),NGBY06,88.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Benue,Units,Percentage (%),NGBE07,75.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Borno,Units,Percentage (%),NGBO08,72.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Cross River,Units,Percentage (%),NGXR09,75.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Delta,Units,Percentage (%),NGDE10,47.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Ebonyi,Units,Percentage (%),NGEB11,78.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Edo,Units,Percentage (%),NGED12,35.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Ekiti,Units,Percentage (%),NGEK13,36.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Enugu,Units,Percentage (%),NGEN14,63.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Gombe,Units,Percentage (%),NGGO15,86.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Imo,Units,Percentage (%),NGIM16,40.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Jigawa,Units,Percentage (%),NGJI17,84.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Kaduna,Units,Percentage (%),NGKD18,73.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Kano,Units,Percentage (%),NGKN19,66.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Katsina,Units,Percentage (%),NGKT20,72.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Kebbi,Units,Percentage (%),NGKE21,82.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Kogi,Units,Percentage (%),NGKO22,61.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Kwara,Units,Percentage (%),NGKW23,48.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Lagos,Units,Percentage (%),NGLA24,29.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Nasarawa,Units,Percentage (%),NGNA25,60.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Niger,Units,Percentage (%),NGNI26,69.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Ogun,Units,Percentage (%),NGOG27,68.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Ondo,Units,Percentage (%),NGON28,27.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Osun,Units,Percentage (%),NGOS29,40.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Oyo,Units,Percentage (%),NGOY30,48.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Plateau,Units,Percentage (%),NGPL31,84.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Rivers,Units,Percentage (%),NGRI32,62.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Sokoto,Units,Percentage (%),NGSO33,90.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Taraba,Units,Percentage (%),NGTA34,79.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Yobe,Units,Percentage (%),NGYO35,83.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Zamfara,Units,Percentage (%),NGZA36,78.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Federal Capital Territory,Units,Percentage (%),NGFC37,48.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,,Units,Percentage (%),NG,40.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),Rural,,,Units,Percentage (%),NG,41.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),Urban,,,Units,Percentage (%),NG,36.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,North  Central,,Units,Percentage (%),NGNCZ06,41.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,North East,,Units,Percentage (%),NGNEZ05,42.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,North West,,Units,Percentage (%),NGNWZ04,42.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,South East,,Units,Percentage (%),NGSEZ03,37.3
