Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,Age group,Units,GeoCode,Value
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Imo,,Percentage (%),NGIM16,21.3
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Jigawa,,Percentage (%),NGJI17,1.1
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Kaduna,,Percentage (%),NGKD18,21.9
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Kano,,Percentage (%),NGKN19,5.7
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Katsina,,Percentage (%),NGKT20,4.9
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Kebbi,,Percentage (%),NGKE21,5.0
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Kogi,,Percentage (%),NGKO22,6.2
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Kwara,,Percentage (%),NGKW23,23.7
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Lagos,,Percentage (%),NGLA24,17.4
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Nasarawa,,Percentage (%),NGNA25,13.8
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Niger,,Percentage (%),NGNI26,8.1
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Ogun,,Percentage (%),NGOG27,18.2
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Ondo,,Percentage (%),NGON28,18.8
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Osun,,Percentage (%),NGOS29,22.9
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Oyo,,Percentage (%),NGOY30,30.0
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Plateau,,Percentage (%),NGPL31,19.2
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Rivers,,Percentage (%),NGRI32,11.0
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Sokoto,,Percentage (%),NGSO33,4.6
