Year,Series,Units,Value
2016,Total greenhouse gas emissions per year,kt of CO2 equivalent,307195.07
2017,Total greenhouse gas emissions per year,kt of CO2 equivalent,311186.0
2018,Total greenhouse gas emissions per year,kt of CO2 equivalent,320860.8
2019,Total greenhouse gas emissions per year,kt of CO2 equivalent,332247.0
2020,Total greenhouse gas emissions per year,kt of CO2 equivalent,322336.5
