Year,Series,Unit multiplier,Units,Value
2016,Agricultural export subsidies,Thousand,Naira,7858643.4
2017,Agricultural export subsidies,Thousand,Naira,5849388.7
2018,Agricultural export subsidies,Thousand,Naira,4377626.3
2019,Agricultural export subsidies,Thousand,Naira,4068332.5
2020,Agricultural export subsidies,Thousand,Naira,4321663.9
2021,Agricultural export subsidies,Thousand,Naira,5786729.9
2022,Agricultural export subsidies,Thousand,Naira,8481234.8
2023,Agricultural export subsidies,Thousand,Naira,8396763.6
