Year,Series,Measure,Sex,Sector,Age group,Geopolitical Zone,State,GeoCode,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Value
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Wasting,Female,,,South West,,NGSWZ01,,,,,,,,,36.4
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Wasting,Male,Urban,,,,NG,,,,,,,,,9.2
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Wasting,Male,Rural,,,,NG,,,,,,,,,10.6
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Wasting,Female,Urban,,,,NG,,,,,,,,,12.7
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Wasting,Female,Rural,,,,NG,,,,,,,,,8.7
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Male,,,,,NG,,,,,,,,,27.3
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Female,,,,,NG,,,,,,,,,22.7
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Male,,,North  Central,,NGNCZ06,,,,,,,,,24.4
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Male,,,North East,,NGNEZ05,,,,,,,,,28.9
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Male,,,North West,,NGNWZ04,,,,,,,,,27.6
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Male,,,South East,,NGSEZ03,,,,,,,,,28.0
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Male,,,South South,,NGSSZ02,,,,,,,,,25.8
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Male,,,South West,,NGSWZ01,,,,,,,,,29.5
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Female,,,North  Central,,NGNCZ06,,,,,,,,,19.2
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Female,,,North East,,NGNEZ05,,,,,,,,,34.2
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Female,,,North West,,NGNWZ04,,,,,,,,,23.1
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Female,,,South East,,NGSEZ03,,,,,,,,,15.0
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Female,,,South South,,NGSSZ02,,,,,,,,,20.1
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Female,,,South West,,NGSWZ01,,,,,,,,,14.3
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Male,Urban,,,,NG,,,,,,,,,24.2
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Male,Rural,,,,NG,,,,,,,,,28.1
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Female,Urban,,,,NG,,,,,,,,,24.9
2023,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",Underweight,Female,Rural,,,,NG,,,,,,,,,22.1
