Year,Series,Haemoglobin level,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Maternity status,Age group,State,GeoCode,Value
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Gombe,NGGO15,63.6
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Imo,NGIM16,64.6
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Jigawa,NGJI17,65.4
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Kaduna,NGKD18,44.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Kano,NGKN19,46.6
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Katsina,NGKT20,71.2
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Kebbi,NGKE21,60.4
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Kogi,NGKO22,58.2
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Kwara,NGKW23,54.9
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Lagos,NGLA24,49.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Nasarawa,NGNA25,65.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Niger,NGNI26,64.2
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Ogun,NGOG27,49.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Ondo,NGON28,55.2
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Osun,NGOS29,57.2
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Oyo,NGOY30,49.7
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Plateau,NGPL31,43.7
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Rivers,NGRI32,66.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Sokoto,NGSO33,73.7
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Any <12.0 g/dl,,,,,,,Taraba,NGTA34,54.0
