Year,Series,Category of disaster effect,State,Unit multiplier,Units,GeoCode,Value
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ogun,Units,Number,NGOG27,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ondo,Units,Number,NGON28,8.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Osun,Units,Number,NGOS29,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Oyo,Units,Number,NGOY30,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Plateau,Units,Number,NGPL31,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Rivers,Units,Number,NGRI32,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Sokoto,Units,Number,NGSO33,13.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Taraba,Units,Number,NGTA34,145.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Yobe,Units,Number,NGYO35,0.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Zamfara,Units,Number,NGZA36,145.0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Federal Capital Territory,Units,Number,NGFC37,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Abia,Units,Number,NGAB01,15149.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Adamawa,Units,Number,NGAD02,89595.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Akwa Ibom,Units,Number,NGAK03,1571.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Anambra,Units,Number,NGAN04,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Bauchi,Units,Number,NGBA05,18463.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Bayelsa,Units,Number,NGBY06,9412.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Benue,Units,Number,NGBE07,4577.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Borno,Units,Number,NGBO08,4947.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Cross River,Units,Number,NGXR09,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Delta,Units,Number,NGDE10,1798.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Ebonyi,Units,Number,NGEB11,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Edo,Units,Number,NGED12,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Ekiti,Units,Number,NGEK13,10323.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Enugu,Units,Number,NGEN14,7763.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Gombe,Units,Number,NGGO15,1192.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Imo,Units,Number,NGIM16,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Jigawa,Units,Number,NGJI17,2115.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kaduna,Units,Number,NGKD18,10976.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kano,Units,Number,NGKN19,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Katsina,Units,Number,NGKT20,2251.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kebbi,Units,Number,NGKE21,146571.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kogi,Units,Number,NGKO22,9748.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Kwara,Units,Number,NGKW23,19247.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Lagos,Units,Number,NGLA24,10716.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Nasarawa,Units,Number,NGNA25,10219.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Niger,Units,Number,NGNI26,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Ogun,Units,Number,NGOG27,4994.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Ondo,Units,Number,NGON28,8160.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Osun,Units,Number,NGOS29,8214.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Oyo,Units,Number,NGOY30,3757.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Plateau,Units,Number,NGPL31,6871.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Rivers,Units,Number,NGRI32,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Sokoto,Units,Number,NGSO33,19094.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Taraba,Units,Number,NGTA34,47644.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Yobe,Units,Number,NGYO35,3280.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Zamfara,Units,Number,NGZA36,73923.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Directly Affected Persons,Federal Capital Territory,Units,Number,NGFC37,3913.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Abia,Units,Number,NGAB01,9720.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Adamawa,Units,Number,NGAD02,25487.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Akwa Ibom,Units,Number,NGAK03,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Anambra,Units,Number,NGAN04,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Bauchi,Units,Number,NGBA05,9901.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Bayelsa,Units,Number,NGBY06,9412.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Benue,Units,Number,NGBE07,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Borno,Units,Number,NGBO08,2325.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Cross River,Units,Number,NGXR09,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Delta,Units,Number,NGDE10,481.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Ebonyi,Units,Number,NGEB11,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Edo,Units,Number,NGED12,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Ekiti,Units,Number,NGEK13,1843.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Enugu,Units,Number,NGEN14,4343.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Gombe,Units,Number,NGGO15,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Imo,Units,Number,NGIM16,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Jigawa,Units,Number,NGJI17,26.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Kaduna,Units,Number,NGKD18,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Kano,Units,Number,NGKN19,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Katsina,Units,Number,NGKT20,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Kebbi,Units,Number,NGKE21,21638.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Kogi,Units,Number,NGKO22,16054.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Kwara,Units,Number,NGKW23,2002.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Lagos,Units,Number,NGLA24,24.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Nasarawa,Units,Number,NGNA25,6974.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Niger,Units,Number,NGNI26,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Ogun,Units,Number,NGOG27,341.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Ondo,Units,Number,NGON28,1554.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Osun,Units,Number,NGOS29,718.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Oyo,Units,Number,NGOY30,677.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Plateau,Units,Number,NGPL31,6102.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Rivers,Units,Number,NGRI32,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Sokoto,Units,Number,NGSO33,13502.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Taraba,Units,Number,NGTA34,16799.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Yobe,Units,Number,NGYO35,1738.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Zamfara,Units,Number,NGZA36,35409.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Displaced Persons,Federal Capital Territory,Units,Number,NGFC37,3331.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Abia,Units,Number,NGAB01,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Adamawa,Units,Number,NGAD02,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Akwa Ibom,Units,Number,NGAK03,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Anambra,Units,Number,NGAN04,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Bauchi,Units,Number,NGBA05,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Bayelsa,Units,Number,NGBY06,38.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Benue,Units,Number,NGBE07,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Borno,Units,Number,NGBO08,62.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Cross River,Units,Number,NGXR09,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Delta,Units,Number,NGDE10,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ebonyi,Units,Number,NGEB11,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Edo,Units,Number,NGED12,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ekiti,Units,Number,NGEK13,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Enugu,Units,Number,NGEN14,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Gombe,Units,Number,NGGO15,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Imo,Units,Number,NGIM16,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Jigawa,Units,Number,NGJI17,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kaduna,Units,Number,NGKD18,104.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kano,Units,Number,NGKN19,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Katsina,Units,Number,NGKT20,180.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kebbi,Units,Number,NGKE21,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kogi,Units,Number,NGKO22,54.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Kwara,Units,Number,NGKW23,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Lagos,Units,Number,NGLA24,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Nasarawa,Units,Number,NGNA25,8.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Niger,Units,Number,NGNI26,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ogun,Units,Number,NGOG27,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ondo,Units,Number,NGON28,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Osun,Units,Number,NGOS29,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Oyo,Units,Number,NGOY30,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Plateau,Units,Number,NGPL31,154.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Rivers,Units,Number,NGRI32,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Sokoto,Units,Number,NGSO33,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Taraba,Units,Number,NGTA34,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Yobe,Units,Number,NGYO35,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Zamfara,Units,Number,NGZA36,0.0
2024,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Federal Capital Territory,Units,Number,NGFC37,0.0
