Year,Series,Units,Value
2016,The agriculture orientation index for government expenditures,Index,0.06
2017,The agriculture orientation index for government expenditures,Index,0.05
2018,The agriculture orientation index for government expenditures,Index,0.1
2019,The agriculture orientation index for government expenditures,Index,0.08
2020,The agriculture orientation index for government expenditures,Index,0.07
2021,The agriculture orientation index for government expenditures,Index,0.09
2022,The agriculture orientation index for government expenditures,Index,0.05
2023,The agriculture orientation index for government expenditures,Index,0.09
