Year,Series,Value
2016,Population density (people per sq. km of land area),214.59
2017,Population density (people per sq. km of land area),219.87
2018,Population density (people per sq. km of land area),225.02
2019,Population density (people per sq. km of land area),230.01
2020,Population density (people per sq. km of land area),234.96
2021,Population density (people per sq. km of land area),239.94
2022,Population density (people per sq. km of land area),245.01
