Year,Series,Value
2016,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",17.6
2017,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",17.3
2018,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",17.1
2019,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",16.9
