Year,Series,Units,Value
2016,Indicator of food price anomalies,Index,218.58
2017,Indicator of food price anomalies,Index,261.01
2018,Indicator of food price anomalies,Index,296.4
2019,Indicator of food price anomalies,Index,339.88
2020,Indicator of food price anomalies,Index,406.36
2021,Indicator of food price anomalies,Index,476.95
2022,Indicator of food price anomalies,Index,590.24
2023,Indicator of food price anomalies,Index,790.53
2024,Indicator of food price anomalies,Index,1105.5
