Year,Series,Value
2016,"Tuberculosis incidence per 100,000 population",53.96
2017,"Tuberculosis incidence per 100,000 population",54.91
2018,"Tuberculosis incidence per 100,000 population",54.34
2019,"Tuberculosis incidence per 100,000 population",59.79
2020,"Tuberculosis incidence per 100,000 population",67.18
2021,"Tuberculosis incidence per 100,000 population",98.25
2022,"Tuberculosis incidence per 100,000 population",131.73
