Year,Series,Unit multiplier,Units,Value
2016,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,775.55
2017,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,931.68
2018,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,1083.73
2019,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,1393.08
2020,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,1519.12
2021,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,1438.07
2022,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,1628.99
2023,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,1751.7
