Year,Series,Value
2016,"Proportion of urban population living in slums, informal settlements or inadequate housing",54.01
2018,"Proportion of urban population living in slums, informal settlements or inadequate housing",51.49
2020,"Proportion of urban population living in slums, informal settlements or inadequate housing",48.98
2022,"Proportion of urban population living in slums, informal settlements or inadequate housing",48.5
