Year,Series,Units,Value
2016,Water Use Efficiency,USD,30.5
2017,Water Use Efficiency,USD,30.81
2018,Water Use Efficiency,USD,31.26
2019,Water Use Efficiency,USD,31.69
2020,Water Use Efficiency,USD,30.12
2021,Water Use Efficiency,USD,31.46
