Year,Series,Value
2017,Number of people who died or disappeared in the process of migration towards an international destination,10
2018,Number of people who died or disappeared in the process of migration towards an international destination,4
2019,Number of people who died or disappeared in the process of migration towards an international destination,5
2020,Number of people who died or disappeared in the process of migration towards an international destination,26
2021,Number of people who died or disappeared in the process of migration towards an international destination,3
