Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Units,GeoCode,Value
2018,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",,,,,,Nasarawa,Percentage (%),NGNA25,15.1
2018,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",,,,,,Niger,Percentage (%),NGNI26,19.6
2018,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",,,,,,Ogun,Percentage (%),NGOG27,10.5
2018,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",,,,,,Ondo,Percentage (%),NGON28,20.3
2018,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",,,,,,Osun,Percentage (%),NGOS29,23.1
2018,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",,,,,,Oyo,Percentage (%),NGOY30,10.1
2018,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",,,,,,Plateau,Percentage (%),NGPL31,18.1
2018,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",,,,,,Rivers,Percentage (%),NGRI32,16.9
2018,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",,,,,,Taraba,Percentage (%),NGTA34,21.2
2018,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",,,,,,Zamfara,Percentage (%),NGZA36,14.6
2018,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",,,,,,Federal Capital Territory,Percentage (%),NGFC37,31.3
