Year,Series,Value
2016,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population",12.73
2017,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population",9.77
2018,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population",7.71
2019,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population",9.85
2020,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population",-9.59
2021,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population",11.0
2022,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population",19.92
2023,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population",8.93
