Year,Series,Unit multiplier,Units,Value
2016,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,28.75
2017,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,95.16
2018,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,86.81
2019,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,32.26
2020,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,37.58
2021,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,37.25
2022,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,41.62
2023,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,114.02
