Year,Series,Value
2016,Red List Index,0.86
2017,Red List Index,0.86
2018,Red List Index,0.86
2019,Red List Index,0.86
2020,Red List Index,0.85
2021,Red List Index,0.85
2022,Red List Index,0.85
2023,Red List Index,0.85
2024,Red List Index,0.85
