Year,Series,Units,Value
2016,"Weighted average tariffs faced by developing countries, least developed",Percentage (%),0.5304
2017,"Weighted average tariffs faced by developing countries, least developed",Percentage (%),0.561
2018,"Weighted average tariffs faced by developing countries, least developed",Percentage (%),0.5655
2019,"Weighted average tariffs faced by developing countries, least developed",Percentage (%),0.6467
2020,"Weighted average tariffs faced by developing countries, least developed",Percentage (%),0.641
2021,"Weighted average tariffs faced by developing countries, least developed",Percentage (%),0.6521
2022,"Weighted average tariffs faced by developing countries, least developed",Percentage (%),0.6422
