Year,Series,Value
2017,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,62.8
2018,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,65.8
2020,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,75.41
2021,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,66.67
