Year,Series,Units,Value
2016,Volume of official development assistance flows for scholarships by sector and type of study,USD,138284.33
2017,Volume of official development assistance flows for scholarships by sector and type of study,USD,683718.3
2018,Volume of official development assistance flows for scholarships by sector and type of study,USD,48627636.83
2019,Volume of official development assistance flows for scholarships by sector and type of study,USD,231274172.1
2020,Volume of official development assistance flows for scholarships by sector and type of study,USD,102321287.1
2021,Volume of official development assistance flows for scholarships by sector and type of study,USD,17680686.19
2022,Volume of official development assistance flows for scholarships by sector and type of study,USD,2479366.47
2023,Volume of official development assistance flows for scholarships by sector and type of study,USD,1316091.04
