Year,Series,Units,Value
2016,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),4.82
2017,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),5.8
2018,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),5.71
2019,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),4.96
2020,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),3.93
2021,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),4.36
