Year,Series,Unit multiplier,Units,Value
2016,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions,USD,367.84
2017,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions,USD,315.94
2018,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions,USD,364.63
2019,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions,USD,454.87
2020,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions,USD,353.54
2021,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions,USD,408.39
2022,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions,USD,676.66
