Year,Series,Units,Value
2016,Proportion of agricultural area under productive and sustainable agriculture,Percentage (%),74.35
2017,Proportion of agricultural area under productive and sustainable agriculture,Percentage (%),74.54
2018,Proportion of agricultural area under productive and sustainable agriculture,Percentage (%),74.94
2019,Proportion of agricultural area under productive and sustainable agriculture,Percentage (%),75.05
2020,Proportion of agricultural area under productive and sustainable agriculture,Percentage (%),75.61
2021,Proportion of agricultural area under productive and sustainable agriculture,Percentage (%),76.59
2022,Proportion of agricultural area under productive and sustainable agriculture,Percentage (%),76.65
