Year,Series,Units,Value
2016,Total Government Revenue as a Proportion of GDP,Percentage (%),5.53
2017,Total Government Revenue as a Proportion of GDP,Percentage (%),6.55
2018,Total Government Revenue as a Proportion of GDP,Percentage (%),7.51
2019,Total Government Revenue as a Proportion of GDP,Percentage (%),6.81
2020,Total Government Revenue as a Proportion of GDP,Percentage (%),5.76
2021,Total Government Revenue as a Proportion of GDP,Percentage (%),6.03
2022,Total Government Revenue as a Proportion of GDP,Percentage (%),6.96
2023,Total Government Revenue as a Proportion of GDP,Percentage (%),8.37
