Year,Series,Units,Value
2021,Total Value of Inward and Outward illicit Financial Flows,USD,1535590971
2022,Total Value of Inward and Outward illicit Financial Flows,USD,1562390719
2023,Total Value of Inward and Outward illicit Financial Flows,USD,1578704241
