Year,Series,Value
2016,"Material footprint, material footprint per capita, and material footprint per GDP",2.8
2017,"Material footprint, material footprint per capita, and material footprint per GDP",2.81
2018,"Material footprint, material footprint per capita, and material footprint per GDP",2.87
2019,"Material footprint, material footprint per capita, and material footprint per GDP",2.87
2020,"Material footprint, material footprint per capita, and material footprint per GDP",2.83
2021,"Material footprint, material footprint per capita, and material footprint per GDP",2.88
2022,"Material footprint, material footprint per capita, and material footprint per GDP",2.84
2023,"Material footprint, material footprint per capita, and material footprint per GDP",2.77
